"Name","Total","Provisioned","InUse","Datacenter"
"su4a-1-DS-1","1.999755859375","1.04647064208984","0.318020820617676","PCS-HOU1"
"su6d_2_bc0","2.497802734375","1.48950108513236","0.845332145690918","PCS-HOU1"
"Test_Dstore_Netapp_01","0.999755859375","0.608449935913086","0.591983795166016","PCS-HOU1"
"Test_Dstore_Netapp_02","1.099853515625","0.635699272155762","0.635699272155762","PCS-HOU1"
"Test_Dstore_SVC_01","0.999755859375","0.489215850830078","0.489215850830078","PCS-HOU1"
"Test_Dstore_SVC_02","0.999755859375","0.538041114807129","0.538041114807129","PCS-HOU1"
"isse_2_ds0","2.499755859375","2.24663639068604","0.734268188476563","PCS-HOU1"
"isse_2_ds1","2.499755859375","2.41495833545923","0.811279296875","PCS-HOU1"
"isse_2_ds2","2.5","2.16724333912134","0.828276634216309","PCS-HOU1"
"isse_2_dsInfra","7.499755859375","6.88396882638335","3.66114044189453","PCS-HOU1"
"su4a_1_ds0","1.999755859375","1.37832977622747","0.419660568237305","PCS-WOK1"
"su6d_1_ds0","3.280029296875","2.74520492553711","1.44886112213135","PCS-WOK1"
"Test_Netapp_0","1.5","0.386675834655762","0.386675834655762","PCS-WOK1"
"Test_SVC_0","0.488037109375","0.46479606628418","0.46479606628418","PCS-WOK1"
"Test_Netapp_1","1.5","0.243121147155762","0.243121147155762","PCS-WOK1"
"su6d_1_dsInfra","0.488037109375","0.380427695810795","0.0811662673950195","PCS-WOK1"
"spsp_1_ds0","4.7998046875","1.52962207794189","0.438654899597168","PCS-WOK1"
"spsp_1_dsInfra","0.48828125","0.000928878784179688","0.000928878784179688","PCS-WOK1"
"isse_1_ds0","2.499755859375","2.1939697265625","0.783626556396484","PCS-WOK1"
"isse_1_ds1","2.499755859375","2.13796306401491","1.36909008026123","PCS-WOK1"
"isse_1_ds2","2.5","2.24229145050049","1.33553695678711","PCS-WOK1"
"isse_1_ds3","2.499755859375","2.12418365478516","2.05262279510498","PCS-WOK1"
"isse_1_ds4","2.499755859375","2.29342746734619","0.883576393127441","PCS-WOK1"
"isse_1_ds5","2.499755859375","2.12116908933967","2.07675075531006","PCS-WOK1"
"isse_1_ds6","2.499755859375","0.000942230224609375","0.000942230224609375","PCS-WOK1"
"wok1p1c2_datastore1","1.562255859375","1.3290433883667","1.18594360351563","WOK1"
"wok1p1c2_datastore2","1.562255859375","0.979572296142578","0.904396057128906","WOK1"
"wok1p1c2_datastore0","1.562255859375","1.30008315946907","0.965469360351563","WOK1"
